Id,Sales
1,4105.079
857,4430.666
1713,4792.408
2569,5143.827
3425,6275.2715
4281,4007.0525
5137,3559.6409
5993,3552.741
6849,3660.2827
7705,3691.1633
8561,3970.7183
9417,5717.477
10273,4399.6523
11129,4533.61
11985,4694.848
12841,5056.597
13697,5185.202
14553,5404.525
15409,6418.5596
16265,4377.6245
17121,4057.2458
17977,3609.124
18833,3519.1587
19689,3350.386
20545,3782.6833
21401,6095.3022
22257,3888.3828
23113,4080.0942
23969,4362.4756
24825,4550.416
25681,4791.261
26537,5227.832
27393,6587.644
28249,4356.5874
29105,3933.8694
29961,3633.679
30817,3425.0288
31673,3438.3691
32529,4009.3694
33385,5945.2744
34241,4056.6147
35097,4313.1206
35953,4448.015
36809,4826.457
37665,4946.2793
38521,5585.7866
39377,7353.79
40233,4914.0522
2,7271.051
858,7891.0415
1714,8955.277
2570,9558.564
3426,3983.549
4282,3890.5903
5138,5557.169
5994,5598.273
6850,5730.5034
7706,5894.9053
8562,5889.1113
9418,3687.9849
10274,4037.7944
11130,7510.9756
11986,7966.506
12842,8677.926
13698,9398.283
14554,10534.836
15410,4048.115
16266,4352.3296
17122,6191.3345
17978,5642.6626
18834,5480.352
19690,5467.544
20546,5485.409
21402,3818.135
22258,3564.3813
23114,7110.1855
23970,7405.157
24826,7868.2617
25682,8655.682
26538,9764.687
27394,3886.829
28250,3871.513
29106,5663.6006
29962,5710.5825
30818,5631.371
31674,5759.5635
32530,5719.0967
33386,3877.4006
34242,3889.2065
35098,7183.4097
35954,7452.19
36810,7863.9326
37666,8277.087
38522,9502.415
39378,4698.737
40234,4747.791
3,9309.71
859,9838.951
1715,11339.303
2571,12951.6
3427,4092.2668
4283,6212.2812
5139,8510.288
5995,8219.578
6851,8172.417
7707,8942.979
8563,9513.07
9419,4015.1064
10275,6485.3545
11131,10540.626
11987,10403.097
12843,11474.532
13699,13214.223
14555,14994.486
15411,5228.002
16267,7836.5737
17123,10195.551
17979,9172.717
18835,8932.569
19691,9136.621
20547,9879.904
21403,5237.5654
22259,6655.8364
23115,10709.357
23971,10527.132
24827,10774.209
25683,12100.255
26539,14149.348
27395,5306.544
28251,7182.759
29107,10235.762
29963,9460.501
30819,8764.961
31675,9616.823
32531,10611.76
33387,5204.289
34243,7366.8823
35099,11539.395
35955,11009.189
36811,11232.504
37667,12572.381
38523,14958.092
39379,5994.1924
40235,8471.36
4,6997.9414
860,6940.132
1716,7795.2666
2572,9173.294
3428,4333.3853
4284,3639.6042
5140,5232.851
5996,5913.0103
6852,5268.4155
7708,5443.399
8564,5874.121
9420,3940.344
10276,3731.2239
11132,6550.876
11988,7735.289
12844,7728.46
13700,8616.91
14556,9689.965
15412,4768.5693
16268,4049.652
17124,5261.3696
